date,subregion1_name,subregion2_name,population,life_expectancy,new_confirmed,cumulative_confirmed,new_hospitalized_patients,cumulative_deceased,cumulative_tested,cumulative_hospitalized_patients,latitude,longitude,area_sq_km,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
3/29/2021,Florida,Taylor County,21781,76.075,1,2693,0,45,17756,96,30.02,-83.62,3191,11919,9862,2463,2231,3007,2705,2656,2925,2851,1969,974
3/29/2021,Florida,Putnam County,73384,74.51875,8,6027,0,135,76189,530,29.61,-81.74,2142,36313,37071,8729,8561,8287,7397,7641,10647,10959,7382,3781
3/29/2021,Florida,Sarasota County,419680,80.290123,74,29249,2,785,418256,1355,27.19,-82.37,1878,199988,219692,31135,36067,35638,34154,40364,56912,72784,67694,44932
3/29/2021,Florida,Suwannee County,44124,75.742857,2,5214,0,135,49800,311,30.19,-82.99,1792,22950,21174,4967,5194,5485,5216,5025,5973,5888,4107,2269
3/29/2021,Florida,Wakulla County,32050,76.55,3,3245,1,55,30618,158,30.15,-84.38,736,17315,14735,3571,3951,3763,4521,4694,4667,3822,2228,833
3/29/2021,Florida,Orange County,1355921,78.435979,370,123361,1,1179,1349710,2631,28.51,-81.32,2601,664891,691030,167657,174424,227434,207011,183459,170537,123196,66269,35934
3/29/2021,Florida,Hernando County,186704,76.175,27,12350,1,441,139871,985,28.55,-82.47,1526,89778,96926,17836,20178,19064,18547,20538,25445,27883,23884,13329
3/29/2021,Florida,Charlotte County,181522,78.725,30,11506,3,391,157202,883,26.9,-81.95,2225,88453,93069,11359,13330,14354,13100,15433,25449,36403,32923,19171
3/29/2021,Florida,Lake County,345432,77.764706,95,26605,1,600,331653,1419,28.77,-81.72,2995,167074,178358,35480,37620,35739,36972,39352,45064,48605,43052,23548
3/29/2021,New York,Kings County,2594676,80.061236,784,206214,7,7888,4718471,27706,40.692778,-73.990278,251,1229956,1364720,356592,289847,410536,423754,320676,302727,254657,143155,92732
3/29/2021,Florida,Jefferson County,14165,76.5,1,1425,0,24,14938,75,30.42,-83.9,1649,7408,6757,1398,1324,1505,1616,1792,2170,2225,1422,713
3/29/2021,Florida,Washington County,24546,74.083333,1,2670,0,50,19476,136,30.61,-85.67,616,13264,11282,2556,2821,3346,3110,3326,3533,2964,2010,880
3/29/2021,Florida,Osceola County,353623,79.132353,108,39519,4,482,356557,1375,28.06,-81.15,3901,174281,179342,46104,50445,49582,51449,49265,43471,33097,20652,9558
3/29/2021,Florida,Bay County,184736,75.825641,11,19367,0,373,81907,827,30.24,-85.63,2676,91977,92759,22633,20810,25297,24443,22061,26363,22110,13488,7531
3/29/2021,Florida,Escambia County,313249,75.153731,30,34811,4,664,271009,2158,30.61,-87.33,2268,155087,158162,37371,39145,50540,38917,33684,41643,37186,22409,12354
3/29/2021,Florida,Jackson County,48289,74.727273,3,6060,1,154,57751,356,30.8,-85.21,2472,26607,21682,4816,5322,6307,6603,6440,6397,5973,4096,2335
3/29/2021,Florida,Levy County,40276,74.925,7,3083,1,43,34029,202,29.28,-82.79,3658,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110
3/28/2021,New York,Queens County,2295808,81.48371,452,205545,32,7975,4661785,28485,40.704167,-73.917778,461,1113524,1182284,271278,236589,326769,346113,307424,316154,254786,143156,93539
3/28/2021,New York,Richmond County,475671,79.589216,116,55226,10,1492,1135995,5073,40.576281,-74.144839,265,230478,245193,55826,59252,63097,60160,62305,68677,56338,31654,18362
3/28/2021,Florida,Walton County,68021,78.136364,4,7300,0,83,41531,301,30.61,-86.17,1240,34509,33512,7878,7099,7229,8675,8382,10321,9874,5959,2604
3/28/2021,Florida,Dixie County,16615,76.4,1,1548,1,23,16505,110,29.59,-83.19,2237,9138,7477,1656,1693,1831,1951,1870,2510,2392,1867,845
3/28/2021,New York,New York County,1630698,81.935021,170,98324,11,3509,4077719,13456,40.728333,-73.994167,87,772221,858477,143009,125922,302788,302155,207787,194261,170052,112532,72192
3/28/2021,Florida,Bradford County,27142,76.2,2,2917,0,53,29690,146,29.95,-82.17,777,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194
3/28/2021,Florida,Manatee County,385506,78.997297,56,34616,2,633,472794,1467,27.48,-82.36,2312,186419,199087,38412,40327,39871,39607,42556,52661,58004,46439,27629
3/28/2021,Florida,Bay County,184736,75.825641,4,19356,0,373,81815,827,30.24,-85.63,2676,91977,92759,22633,20810,25297,24443,22061,26363,22110,13488,7531
3/28/2021,Florida,St. Johns County,243693,80.342424,18,21077,0,202,249151,754,29.91,-81.41,2127,118732,124961,26849,31992,22942,28237,33191,35526,33418,21201,10337
3/28/2021,Florida,Jackson County,48289,74.727273,7,6057,0,154,57739,355,30.8,-85.21,2472,26607,21682,4816,5322,6307,6603,6440,6397,5973,4096,2335
3/28/2021,Florida,Sarasota County,419680,80.290123,85,29175,0,785,417784,1353,27.19,-82.37,1878,199988,219692,31135,36067,35638,34154,40364,56912,72784,67694,44932
3/28/2021,Florida,Duval County,937933,75.768263,69,92312,1,1295,1085029,2065,30.33,-81.65,2378,454866,483067,123320,110313,145093,136167,113871,124925,101155,54475,28614
3/28/2021,Florida,Brevard County,587769,77.314815,62,37003,3,804,395083,2179,28.3,-80.7,4032,287247,300522,57188,63194,65332,62545,64508,92296,85624,60075,37007
3/28/2021,Florida,Leon County,290965,77.575439,11,30256,2,301,335236,689,30.46,-84.28,1818,138155,152810,29906,40925,71313,34958,29735,31207,29046,15916,7959
3/28/2021,Florida,Lake County,345432,77.764706,46,26510,3,600,331169,1418,28.77,-81.72,2995,167074,178358,35480,37620,35739,36972,39352,45064,48605,43052,23548
3/28/2021,Florida,Osceola County,353623,79.132353,61,39411,0,481,356119,1371,28.06,-81.15,3901,174281,179342,46104,50445,49582,51449,49265,43471,33097,20652,9558
3/28/2021,Florida,Palm Beach County,1470344,80.354355,192,130897,6,2635,1717869,6494,26.71,-80.05,6181,712747,757597,152684,162455,169932,170011,177938,199319,178684,147328,111993
3/28/2021,Florida,Marion County,353339,75.448148,32,28950,1,916,301403,1970,29.21,-82.06,4307,169645,183694,35985,36473,37530,35631,36665,45072,52416,48438,25129
3/28/2021,Florida,Polk County,685368,77.266667,100,60849,0,1237,682667,4857,27.96,-81.7,5206,335901,349467,82053,87374,87382,83183,80705,84791,82618,63958,33304
3/28/2021,Florida,Seminole County,462801,79.789873,60,29850,1,463,367188,1202,28.71,-81.23,893,223736,239065,51416,56748,63523,65265,63037,64753,51426,29636,16997
3/28/2021,Florida,Okaloosa County,203478,78.015789,4,19722,1,351,128614,708,30.6875,-86.5925,2802,103224,100254,26333,22774,31775,28666,21945,27420,23091,13869,7605
3/28/2021,Florida,Hardee County,27154,79.533333,2,2896,1,37,25598,222,27.49,-81.81,1653,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118
3/28/2021,Florida,Hillsborough County,1426736,77.533083,243,120894,3,1602,1344317,2985,27.91,-82.35,3279,697571,729165,178297,178833,206500,205720,191896,187064,147586,84880,45960
3/28/2021,Florida,St. Lucie County,313163,77.727907,28,23893,3,583,293858,1656,27.38,-80.44,1782,152888,160275,33327,35703,34984,34344,36024,42952,42993,33545,19291
3/28/2021,Florida,Pasco County,525141,76.321239,79,36139,4,687,449691,2442,28.3,-82.44,2248,255363,269778,56974,60730,55316,60624,66916,72485,67798,54229,30069
